Center Elementary School,K,2,3,3,0,2,0,138
Center Elementary School,PK,1,3,1,0,0,0,71
Beaver Brook Elementary School,Gr.1,3,3,7,0,1,0,117
Beaver Brook Elementary School,Gr.2,1,3,5,0,1,0,133
Beaver Brook Elementary School,Gr.3,0,1,5,0,0,0,168
Beaver Brook Elementary School,Gr.4,6,3,0,0,1,0,162
Woodsdale Elementary School,Gr.5,1,3,6,0,0,0,146
Woodsdale Elementary School,Gr.6,7,2,6,0,1,0,158
Frolio Middle School,Gr.7,2,2,4,2,0,0,146
Frolio Middle School,Gr.8,6,4,7,0,0,1,131
Abington High,Gr.9,1,0,15,2,0,0,113
Abington High,Gr.10,3,0,10,1,0,0,82
Abington High,Gr.11,6,2,2,2,0,0,105
Abington High,Gr.12,1,2,8,0,0,0,117
Abington High,SP,***,***,***,***,***,***,***
Acushnet Elementary School,K,0,0,4,0,0,0,92
Acushnet Elementary School,PK,0,0,1,2,0,0,48
Acushnet Elementary School,Gr.1,0,0,0,0,0,0,101
Acushnet Elementary School,Gr.2,0,0,2,0,0,0,85
Acushnet Elementary School,Gr.3,1,0,1,0,0,0,103
Acushnet Elementary School,Gr.4,0,0,0,0,0,0,113
Albert F Ford Middle School,Gr.5,0,0,2,0,0,0,76
Albert F Ford Middle School,Gr.6,1,1,1,0,0,0,113
Albert F Ford Middle School,Gr.7,1,1,1,0,0,0,108
Albert F Ford Middle School,Gr.8,0,1,0,0,0,0,114
Agawam Early Childhood Center,PK,2,2,7,0,0,0,154
Clifford M Granger,K,0,2,7,1,0,0,44
Clifford M Granger,Gr.1,0,1,7,3,0,0,44
Clifford M Granger,Gr.2,0,1,0,1,0,1,61
Clifford M Granger,Gr.3,1,2,2,1,0,0,60
Clifford M Granger,Gr.4,2,1,8,0,0,0,53
Benjamin J Phelps,K,0,1,0,0,0,0,75
Benjamin J Phelps,Gr.1,0,3,6,4,0,0,81
Benjamin J Phelps,Gr.2,3,2,6,4,0,0,64
Benjamin J Phelps,Gr.3,4,5,2,1,0,0,64
Benjamin J Phelps,Gr.4,1,5,6,1,0,0,68
Robinson Park,K,3,3,8,2,0,0,55
Robinson Park,Gr.1,0,3,8,2,0,0,60
Robinson Park,Gr.2,2,0,3,1,0,0,75
Robinson Park,Gr.3,3,4,5,6,0,0,73
Robinson Park,Gr.4,1,4,6,3,0,0,68
James Clark School,K,4,1,3,0,0,0,44
James Clark School,Gr.1,1,3,4,2,0,0,63
James Clark School,Gr.2,1,2,6,0,0,0,53
James Clark School,Gr.3,0,2,5,1,0,0,53
James Clark School,Gr.4,3,5,4,3,0,0,69
Roberta G. Doering School,Gr.5,4,8,18,10,0,0,226
Roberta G. Doering School,Gr.6,3,3,21,11,0,0,278
Roberta G. Doering School,Gr.7,***,***,***,***,***,***,***
Roberta G. Doering School,Gr.8,***,***,***,***,***,***,***
Agawam Junior High,Gr.7,3,5,12,4,0,0,276
Agawam Junior High,Gr.8,5,6,21,5,0,0,280
Agawam High,Gr.9,6,7,15,7,0,1,281
Agawam High,Gr.10,3,10,18,4,1,0,303
Agawam High,Gr.11,7,6,19,7,1,1,288
Agawam High,Gr.12,6,7,8,3,2,2,267
Amesbury Elementary,K,24,0,2,7,1,0,53
Amesbury Elementary,PK,4,0,3,0,0,0,22
Amesbury Elementary,Gr.1,4,0,4,2,0,0,73
Amesbury Elementary,Gr.2,0,1,1,1,0,0,71
Amesbury Elementary,Gr.3,2,0,6,2,0,0,76
Amesbury Elementary,Gr.4,4,0,3,3,0,0,64
Charles C Cashman Elementary,K,4,3,5,3,1,0,67
Charles C Cashman Elementary,PK,0,0,2,0,0,0,34
Charles C Cashman Elementary,Gr.1,4,1,9,3,0,0,76
Charles C Cashman Elementary,Gr.2,2,1,9,4,0,1,76
Charles C Cashman Elementary,Gr.3,3,5,7,1,0,1,89
Charles C Cashman Elementary,Gr.4,2,0,3,4,0,0,82
Amesbury Middle,Gr.5,1,3,3,4,0,0,166
Amesbury Middle,Gr.6,4,1,11,9,0,0,150
Amesbury Middle,Gr.7,4,2,7,5,0,0,174
Amesbury Middle,Gr.8,6,0,8,7,0,0,159
Amesbury High,Gr.9,0,1,8,4,0,0,147
Amesbury High,Gr.10,2,0,6,0,0,0,146
Amesbury High,Gr.11,1,2,9,7,0,0,149
Amesbury High,Gr.12,0,2,4,2,0,0,128
Amesbury High,SP,***,***,***,***,***,***,***
Crocker Farm Elementary,K,0,7,12,3,0,0,18
Crocker Farm Elementary,PK,8,16,7,1,0,0,29
Crocker Farm Elementary,Gr.1,4,10,17,6,0,0,18
Crocker Farm Elementary,Gr.2,7,8,11,4,0,0,13
Crocker Farm Elementary,Gr.3,4,2,16,8,0,0,30
Crocker Farm Elementary,Gr.4,7,7,12,3,0,0,25
Crocker Farm Elementary,Gr.5,2,11,6,1,0,0,27
Crocker Farm Elementary,Gr.6,6,5,12,6,0,1,32
Fort River Elementary,K,1,6,11,3,0,0,22
Fort River Elementary,Gr.1,2,6,10,2,1,0,22
Fort River Elementary,Gr.2,8,10,13,3,1,0,30
Fort River Elementary,Gr.3,7,5,19,4,0,0,23
Fort River Elementary,Gr.4,4,7,9,4,0,0,21
Fort River Elementary,Gr.5,3,6,11,2,1,1,36
Fort River Elementary,Gr.6,3,8,10,4,0,0,27
Wildwood Elementary,K,5,11,11,5,0,0,25
Wildwood Elementary,Gr.1,1,7,10,7,0,0,26
Wildwood Elementary,Gr.2,6,11,6,8,0,0,33
Wildwood Elementary,Gr.3,5,4,12,4,0,0,24
Wildwood Elementary,Gr.4,6,6,7,6,0,0,30
Wildwood Elementary,Gr.5,7,6,11,3,0,0,39
Wildwood Elementary,Gr.6,7,8,14,7,0,0,34
