Boston - Jeremiah E Burke High,5,58,12,6,  40.0
Boston - Jeremiah E Burke High,25,41,15,4,  73.5
Boston - Jeremiah E Burke High,1,21,32,8,N/A
Boston - Lyon Upper 9-12,4,20,4,0,  55.0
Boston - Lyon Upper 9-12,5,13,7,4,  39.0
Boston - Lyon Upper 9-12,1,4,12,5,N/A
Boston - Madison Park High,10,94,50,23,  27.0
Boston - Madison Park High,27,51,53,50,  43.0
Boston - Madison Park High,2,24,84,43,N/A
Boston - Margarita Muniz Academy,8,43,10,4,  66.0
Boston - Margarita Muniz Academy,14,22,16,12,  60.0
Boston - Margarita Muniz Academy,0,14,37,6,N/A
Boston - New Mission High School,35,35,5,0,  53.5
Boston - New Mission High School,43,24,6,2,  73.0
Boston - New Mission High School,9,49,12,0,N/A
Boston - Snowden International School at Copley,30,71,9,0,  49.0
Boston - Snowden International School at Copley,36,35,29,11,  40.0
Boston - Snowden International School at Copley,4,23,58,7,N/A
Boston - The English High,10,59,16,8,  46.0
Boston - The English High,15,27,24,26,  51.0
Boston - The English High,3,21,46,13,N/A
Boston - Urban Science Academy,16,50,9,3,  60.0
Boston - Urban Science Academy,16,30,23,6,  48.0
Boston - Urban Science Academy,1,18,32,20,N/A
Boston - West Roxbury Academy,7,69,14,5,  34.0
Boston - West Roxbury Academy,14,24,38,16,  45.0
Boston - West Roxbury Academy,0,11,46,11,N/A
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,3,13,6,0, 
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,3,6,8,5, 
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,0,2,8,4,N/A
Bourne - Bourne High School,32,56,6,1,  39.0
Bourne - Bourne High School,41,28,19,6,  38.0
Bourne - Bourne High School,20,48,18,1,N/A
Braintree - Braintree High,212,145,8,9,  34.0
Braintree - Braintree High,250,93,18,11,  38.0
Braintree - Braintree High,163,135,52,9,N/A
Bridgewater-Raynham - Bridgewater-Raynham Regional,191,186,7,2,  47.0
Bridgewater-Raynham - Bridgewater-Raynham Regional,264,81,33,9,  51.0
Bridgewater-Raynham - Bridgewater-Raynham Regional,135,179,52,5,N/A
Bristol County Agricultural - Bristol County Agricultural High,47,64,5,0,  31.0
Bristol County Agricultural - Bristol County Agricultural High,61,41,11,3,  52.0
Bristol County Agricultural - Bristol County Agricultural High,34,66,15,0,N/A
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,93,207,15,4,  44.0
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,146,101,60,12,  61.5
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,53,155,81,8,N/A
Brockton - Brockton Champion High School,1,12,3,1, 
Brockton - Brockton Champion High School,1,4,5,6, 
Brockton - Brockton Champion High School,2,2,6,0,N/A
Brockton - Brockton High,344,464,75,76,  52.0
Brockton - Brockton High,311,263,206,173,  36.0
Brockton - Brockton High,115,389,267,104,N/A
Brookline - Brookline High,368,98,5,2,  66.0
Brookline - Brookline High,373,62,26,10,  63.0
Brookline - Brookline High,260,136,50,6,N/A
Burlington - Burlington High,123,114,6,0,  47.0
Burlington - Burlington High,132,85,21,4,  46.0
Burlington - Burlington High,64,102,60,2,N/A
