Abington - Abington High,60,57,2,5,  56.0
Abington - Abington High,73,31,14,7,  52.5
Abington - Abington High,24,65,21,6,N/A
Acton-Boxborough - Acton-Boxborough Regional High,316,119,2,2,  57.0
Acton-Boxborough - Acton-Boxborough Regional High,385,36,11,5,  75.0
Acton-Boxborough - Acton-Boxborough Regional High,293,121,13,2,N/A
Agawam - Agawam High,128,145,9,5,  51.0
Agawam - Agawam High,159,83,37,13,  45.0
Agawam - Agawam High,59,147,83,4,N/A
Amesbury - Amesbury High,70,67,6,6,  41.0
Amesbury - Amesbury High,92,28,16,11,  56.0
Amesbury - Amesbury High,41,69,26,6,N/A
Amherst-Pelham - Amherst Regional High,135,78,2,6,  49.0
Amherst-Pelham - Amherst Regional High,149,37,23,6,  48.0
Amherst-Pelham - Amherst Regional High,110,74,15,5,N/A
Andover - Andover High,272,130,4,2,  42.0
Andover - Andover High,314,73,15,7,  54.0
Andover - Andover High,147,189,57,2,N/A
Arlington - Arlington High,207,82,3,2,  43.5
Arlington - Arlington High,219,55,17,3,  49.0
Arlington - Arlington High,156,93,31,2,N/A
Ashburnham-Westminster - Oakmont Regional High School,94,85,5,2,  52.0
Ashburnham-Westminster - Oakmont Regional High School,116,50,14,4,  63.0
Ashburnham-Westminster - Oakmont Regional High School,43,101,32,2,N/A
Ashland - Ashland High,118,52,1,0,  67.0
Ashland - Ashland High,134,34,3,0,  77.0
Ashland - Ashland High,100,59,6,0,N/A
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,60,185,20,3,  48.5
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,82,90,73,21,  54.0
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,62,122,48,14,N/A
Athol-Royalston - Athol High,26,47,10,3,  49.5
Athol-Royalston - Athol High,26,30,18,12,  40.0
Athol-Royalston - Athol High,9,34,26,7,N/A
Attleboro - Attleboro High,213,158,24,8,  53.0
Attleboro - Attleboro High,229,101,58,16,  37.0
Attleboro - Attleboro High,96,173,93,17,N/A
Auburn - Auburn Senior High,75,82,7,3,  42.0
Auburn - Auburn Senior High,74,56,28,7,  27.0
Auburn - Auburn Senior High,32,88,35,1,N/A
Ayer Shirley School District - Ayer Shirley Regional High School,32,46,7,3,  44.5
Ayer Shirley School District - Ayer Shirley Regional High School,42,22,17,5,  49.0
Ayer Shirley School District - Ayer Shirley Regional High School,18,42,15,1,N/A
Bedford - Bedford High,144,68,3,1,  58.0
Bedford - Bedford High,155,40,17,3,  59.5
Bedford - Bedford High,86,88,25,0,N/A
Belchertown - Belchertown High,111,50,3,0,  71.0
Belchertown - Belchertown High,112,34,13,4,  67.0
Belchertown - Belchertown High,90,56,14,1,N/A
Belmont - Belmont High,269,52,3,1,  60.0
Belmont - Belmont High,282,34,7,3,  63.5
Belmont - Belmont High,224,83,9,2,N/A
Berkshire Hills - Monument Mt Regional High,63,52,3,0,  48.0
Berkshire Hills - Monument Mt Regional High,59,41,16,4,  49.5
Berkshire Hills - Monument Mt Regional High,32,58,21,1,N/A
Beverly - Beverly High,195,96,20,6,  42.0
Beverly - Beverly High,192,67,37,21,  45.0
Beverly - Beverly High,106,149,49,7,N/A
Billerica - Billerica Memorial High School,142,136,14,3,  42.0
Billerica - Billerica Memorial High School,170,64,45,13,  52.0
Billerica - Billerica Memorial High School,118,122,42,5,N/A
Blackstone Valley Regional Vocational Technical - Blackstone Valley,212,86,1,0,  68.0
Blackstone Valley Regional Vocational Technical - Blackstone Valley,233,53,12,2,  64.0
Blackstone Valley Regional Vocational Technical - Blackstone Valley,124,150,13,1,N/A
Blackstone-Millville - Blackstone Millville RHS,46,43,11,1,  58.5
Blackstone-Millville - Blackstone Millville RHS,49,19,21,8,  31.5
Blackstone-Millville - Blackstone Millville RHS,25,41,15,9,N/A
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,76,138,16,1,  46.5
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,101,82,42,6,  50.5
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,63,122,31,4,N/A
Boston - Another Course To College,13,40,4,0,  58.5
Boston - Another Course To College,14,19,18,5,  50.5
Boston - Another Course To College,2,14,32,4,N/A
Boston - Boston Arts Academy,30,55,3,0,  36.5
Boston - Boston Arts Academy,21,42,24,0,  23.0
Boston - Boston Arts Academy,3,32,46,0,N/A
Boston - Boston Collaborative High School,0,8,1,1, 
Boston - Boston Community Leadership Academy,14,77,11,13,  46.5
Boston - Boston Community Leadership Academy,49,39,16,12,  69.0
Boston - Boston Community Leadership Academy,2,52,40,11,N/A
Boston - Boston International High School,6,58,8,0, 
Boston - Boston International High School,32,26,10,3, 
Boston - Boston International High School,1,20,25,6,N/A
Boston - Brighton High,9,96,39,20,  41.0
Boston - Brighton High,25,40,49,52,  37.0
Boston - Brighton High,3,32,59,50,N/A
Boston - Charlestown High,7,136,34,25,  42.0
Boston - Charlestown High,31,70,68,31,  51.5
Boston - Charlestown High,4,37,75,36,N/A
Boston - Community Academy of Science and Health,1,48,17,16,  29.0
Boston - Community Academy of Science and Health,11,14,31,26,  39.0
Boston - Community Academy of Science and Health,0,14,23,10,N/A
Boston - East Boston High,55,170,57,14,  53.0
Boston - East Boston High,86,80,80,53,  45.5
Boston - East Boston High,20,107,113,27,N/A
Boston - Excel High School,7,65,23,6,  38.0
Boston - Excel High School,29,30,30,17,  41.0
Boston - Excel High School,3,27,41,8,N/A
Boston - Fenway High School,11,60,4,1,  46.0
Boston - Fenway High School,18,41,14,1,  29.5
Boston - Fenway High School,8,32,26,1,N/A
Boston - Jeremiah E Burke High,5,71,29,1,  32.0
Boston - Jeremiah E Burke High,24,41,35,8,  57.0
Boston - Jeremiah E Burke High,2,20,39,6,N/A
Boston - Lyon Upper 9-12,5,23,2,1,  31.5
Boston - Lyon Upper 9-12,7,9,10,4,  16.0
Boston - Lyon Upper 9-12,0,12,13,2,N/A
Boston - Madison Park High,4,96,45,9,  35.5
Boston - Madison Park High,12,36,65,41,  28.0
Boston - Madison Park High,0,13,51,25,N/A
Boston - Margarita Muniz Academy,11,47,8,5,  63.5
Boston - Margarita Muniz Academy,14,25,19,13,  47.0
Boston - Margarita Muniz Academy,0,25,33,6,N/A
Boston - New Mission High School,19,54,2,0,  62.0
Boston - New Mission High School,37,27,12,0,  59.0
Boston - New Mission High School,1,37,24,0,N/A
Boston - Snowden International School at Copley,10,53,5,3,  44.5
Boston - Snowden International School at Copley,27,21,17,5,  58.0
Boston - Snowden International School at Copley,4,31,26,7,N/A
Boston - The English High,9,71,20,1,  63.0
Boston - The English High,24,21,38,20,  68.0
Boston - The English High,6,26,39,15,N/A
Boston - Urban Science Academy,6,58,13,6,  30.5
Boston - Urban Science Academy,9,31,25,20,  41.0
Boston - Urban Science Academy,1,22,30,27,N/A
Boston - West Roxbury Academy,8,66,15,17,  36.5
Boston - West Roxbury Academy,19,31,28,23,  50.0
Boston - West Roxbury Academy,1,20,42,25,N/A
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,5,23,6,0, 
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,2,8,17,5, 
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,0,5,17,4,N/A
Bourne - Bourne High School,37,50,5,3,  46.0
Bourne - Bourne High School,50,20,16,6,  57.0
Bourne - Bourne High School,11,53,22,2,N/A
Braintree - Braintree High,256,133,10,8,  40.0
Braintree - Braintree High,295,86,17,9,  46.5
Braintree - Braintree High,153,188,46,8,N/A
Bridgewater-Raynham - Bridgewater-Raynham Regional,151,176,9,4,  35.0
Bridgewater-Raynham - Bridgewater-Raynham Regional,205,92,35,8,  41.0
Bridgewater-Raynham - Bridgewater-Raynham Regional,80,173,69,5,N/A
Bristol County Agricultural - Bristol County Agricultural High,42,73,5,0,  37.0
Bristol County Agricultural - Bristol County Agricultural High,58,36,20,6,  37.0
Bristol County Agricultural - Bristol County Agricultural High,33,69,17,0,N/A
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,111,192,17,2,  44.0
