Marblehead,2.3,0.0,0.0,0.0,0.0,0.0,0.3
Marlborough,5.4,2.5,3.3,0.0,0.0,0.0,1.5
Marshfield,12.5,0.0,0.0,0.0,0.0,0.0,0.3
Mashpee,9.1,0.0,0.0,4.0,4.5,0.0,0.6
Maynard,0.0,0.0,0.0,0.0,0.0,0.0,1.4
Medfield,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Medford,0.4,0.0,2.8,4.9,0.0,0.0,1.8
Medway,0.0,0.0,0.0,0.0,0.0,0.0,0.4
Melrose,1.4,0.0,0.0,0.0,0.0,0.0,0.1
Methuen,0.0,0.0,3.4,0.0,0.0,0.0,1.5
Middleborough,0.0,0.0,0.0,4.3,0.0,0.0,0.6
Milford,0.0,0.0,6.9,0.0,0.0,0.0,1.3
Millbury,0.0,0.0,0.0,0.0,0.0,0.0,1.1
Millis,0.0,0.0,0.0,0.0,0.0,0.0,0.9
Milton,0.9,0.0,2.5,0.0,0.0,0.0,0.0
Monson,50.0,0.0,0.0,0.0,0.0,0.0,1.0
Nantucket,0.0,0.0,2.7,0.0,0.0,0.0,1.3
Natick,0.0,0.0,0.0,0.0,100.0,0.0,0.6
Needham,1.7,0.0,0.0,0.0,0.0,0.0,0.1
New Bedford,6.3,0.0,6.6,4.6,10.0,8.3,7.5
Newburyport,10.0,0.0,0.0,0.0,0.0,0.0,0.7
Newton,0.5,0.2,1.0,0.6,0.0,0.0,0.2
North Adams,15.4,0.0,8.3,3.7,33.3,0.0,4.4
Northampton,0.0,0.0,1.0,0.0,0.0,0.0,0.9
North Andover,0.0,0.0,1.0,0.0,0.0,0.0,0.3
North Attleborough,0.0,0.0,4.4,11.1,0.0,0.0,0.5
Northbridge,0.0,0.0,0.0,5.9,0.0,0.0,0.9
North Brookfield,0.0,0.0,0.0,0.0,0.0,0.0,3.0
North Reading,0.0,0.0,0.0,9.1,0.0,0.0,0.8
Norton,0.0,0.0,0.0,0.0,0.0,0.0,1.2
Norwell,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norwood,0.9,0.0,5.8,6.3,0.0,0.0,0.3
Oxford,0.0,0.0,2.7,0.0,0.0,0.0,2.7
Palmer,16.7,0.0,5.9,16.7,0.0,0.0,4.6
Peabody,1.6,0.0,5.6,11.8,0.0,0.0,1.2
Pembroke,22.2,0.0,0.0,0.0,0.0,0.0,0.8
Pittsfield,1.7,4.2,3.4,0.0,0.0,0.0,1.9
Plymouth,6.4,0.0,3.3,3.1,0.0,0.0,1.2
Quincy,3.1,0.0,2.0,2.0,0.0,0.0,1.2
