Lynn,3.5,2.6,5.4,4.1,0.0,0.0,3.0,,
Lynnfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Malden,2.2,1.3,2.8,4.8,0.0,0.0,2.1,,
Mansfield,0.0,1.8,0.0,0.0,0.0,14.3,0.4,,
Marblehead,0.0,0.0,0.0,0.0,0.0,0.0,0.4,,
Marlborough,0.0,0.0,2.3,0.0,0.0,0.0,2.1,,
Marshfield,0.0,0.0,0.0,0.0,0.0,0.0,0.9,,
Mashpee,0.0,0.0,0.0,5.0,6.9,0.0,2.3,,
Maynard,0.0,0.0,0.0,0.0,0.0,0.0,2.2,,
Medfield,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,
Medford,3.4,2.6,1.7,4.5,0.0,0.0,1.6,,
Medway,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
Melrose,3.2,0.0,3.0,0.0,0.0,0.0,0.4,,
Methuen,3.4,1.6,4.3,0.0,0.0,0.0,1.5,,
Middleborough,0.0,0.0,9.1,0.0,0.0,0.0,1.5,,
Milford,10.3,0.0,6.3,0.0,0.0,0.0,2.0,,
Millbury,0.0,0.0,0.0,16.7,0.0,0.0,1.4,,
Millis,0.0,0.0,0.0,0.0,0.0,0.0,0.8,,
Milton,1.3,0.0,0.0,0.0,0.0,0.0,0.2,,
Monson,0.0,0.0,0.0,0.0,0.0,0.0,2.8,,
Nantucket,0.0,0.0,7.6,0.0,0.0,0.0,0.3,,
Natick,0.0,1.1,1.8,0.0,0.0,0.0,0.2,,
Needham,2.2,1.0,1.8,0.0,0.0,0.0,0.1,,
New Bedford,5.3,0.0,6.7,7.8,4.8,4.2,3.8,,
Newburyport,0.0,12.5,6.7,5.9,0.0,0.0,0.4,,
Newton,0.5,0.0,0.0,0.6,0.0,0.0,0.1,,
North Adams,0.0,0.0,0.0,4.0,0.0,16.7,4.0,,
Northampton,7.4,0.0,0.0,8.0,0.0,0.0,0.4,,
North Andover,0.0,1.1,1.2,0.0,0.0,0.0,0.1,,
North Attleborough,0.0,0.0,0.0,0.0,0.0,0.0,0.3,,
Northbridge,0.0,0.0,0.0,5.9,0.0,0.0,1.1,,
North Brookfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
North Reading,0.0,0.0,0.0,0.0,0.0,0.0,0.6,,
Norton,0.0,0.0,0.0,0.0,0.0,0.0,2.3,,
Norwell,0.0,0.0,0.0,0.0,0.0,0.0,0.2,,
Norwood,2.7,0.0,2.2,14.3,0.0,0.0,1.2,,
Oxford,14.3,0.0,0.0,0.0,0.0,0.0,2.7,,
Palmer,0.0,0.0,6.7,11.1,0.0,0.0,3.0,,
Peabody,0.0,0.0,3.8,4.2,0.0,0.0,1.0,,
Pembroke,0.0,0.0,0.0,0.0,0.0,0.0,1.1,,
Pittsfield,3.5,0.0,0.0,5.6,0.0,0.0,2.0,,
Plymouth,0.0,0.0,9.3,0.0,0.0,0.0,1.5,,
Quincy,0.5,1.2,5.4,5.4,14.3,0.0,1.9,,
