Abington - Abington High,40,74,8,0,  35.0
Abington - Abington High,57,42,18,9,  42.0
Abington - Abington High,19,59,40,3,N/A
Acton-Boxborough - Acton-Boxborough Regional High,353,101,4,0,  61.0
Acton-Boxborough - Acton-Boxborough Regional High,417,34,10,0,  71.0
Acton-Boxborough - Acton-Boxborough Regional High,286,145,15,0,N/A
Agawam - Agawam High,106,173,12,4,  43.0
Agawam - Agawam High,183,83,23,8,  55.0
Agawam - Agawam High,57,157,70,6,N/A
Amesbury - Amesbury High,71,55,8,0,  65.0
Amesbury - Amesbury High,86,33,10,6,  50.5
Amesbury - Amesbury High,35,52,35,3,N/A
Amesbury Academy Charter Public (District) - Amesbury Academy Charter Public School,0,12,0,0,N/A
Amesbury Academy Charter Public (District) - Amesbury Academy Charter Public School,4,4,3,1,N/A
Amesbury Academy Charter Public (District) - Amesbury Academy Charter Public School,4,4,3,1,N/A
Amherst-Pelham - Amherst Regional High,163,66,6,6,  66.0
Amherst-Pelham - Amherst Regional High,168,45,17,13,  51.0
Amherst-Pelham - Amherst Regional High,122,78,19,6,N/A
Andover - Andover High,303,112,2,1,  56.0
Andover - Andover High,351,57,8,2,  61.0
Andover - Andover High,190,170,48,1,N/A
Arlington - Arlington High,196,76,5,0,  57.0
Arlington - Arlington High,199,55,16,6,  44.0
Arlington - Arlington High,104,126,29,0,N/A
Ashburnham-Westminster - Oakmont Regional High School,97,71,2,0,  52.0
Ashburnham-Westminster - Oakmont Regional High School,100,52,19,0,  53.5
Ashburnham-Westminster - Oakmont Regional High School,51,89,23,0,N/A
Ashland - Ashland High,113,50,1,1,  65.0
Ashland - Ashland High,122,34,5,3,  72.0
Ashland - Ashland High,61,81,17,3,N/A
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,63,174,15,2,  54.0
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,98,95,49,9,  50.0
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,68,115,50,8,N/A
Athol-Royalston - Athol High,32,43,5,3,  77.0
Athol-Royalston - Athol High,35,24,17,6,  47.5
Athol-Royalston - Athol High,20,35,13,4,N/A
Attleboro - Attleboro High,145,221,27,15,  60.0
Attleboro - Attleboro High,180,138,56,39,  37.0
Attleboro - Attleboro High,40,216,125,21,N/A
Auburn - Auburn Senior High,81,73,5,3,  49.0
Auburn - Auburn Senior High,98,47,10,8,  40.0
Auburn - Auburn Senior High,47,80,24,1,N/A
Ayer Shirley School District - Ayer Shirley Regional High School,23,33,3,0,  65.0
Ayer Shirley School District - Ayer Shirley Regional High School,36,15,5,2,  52.5
Ayer Shirley School District - Ayer Shirley Regional High School,12,33,8,0,N/A
Bedford - Bedford High,159,70,1,0,  64.0
Bedford - Bedford High,185,32,8,5,  56.0
Bedford - Bedford High,82,100,26,1,N/A
Belchertown - Belchertown High,101,75,0,1,  81.0
Belchertown - Belchertown High,132,37,6,2,  71.0
Belchertown - Belchertown High,58,97,16,1,N/A
Bellingham - Bellingham High School,51,109,9,1,  57.5
Bellingham - Bellingham High School,90,52,22,5,  55.0
Bellingham - Bellingham High School,27,91,41,1,N/A
Belmont - Belmont High,210,54,2,0,  69.0
Belmont - Belmont High,220,41,7,0,  60.5
Belmont - Belmont High,166,69,15,1,N/A
Berkshire Hills - Monument Mt Regional High,60,50,6,1,  48.0
Berkshire Hills - Monument Mt Regional High,77,31,10,3,  55.0
Berkshire Hills - Monument Mt Regional High,20,72,13,1,N/A
Beverly - Beverly High,134,166,18,1,  46.5
Beverly - Beverly High,169,98,44,9,  47.0
Beverly - Beverly High,88,156,60,4,N/A
Billerica - Billerica Memorial High School,146,186,17,2,  43.0
Billerica - Billerica Memorial High School,186,107,37,20,  42.0
Billerica - Billerica Memorial High School,113,167,49,6,N/A
Blackstone Valley Regional Vocational Technical - Blackstone Valley,143,142,4,0,  57.0
Blackstone Valley Regional Vocational Technical - Blackstone Valley,204,72,12,2,  56.5
Blackstone Valley Regional Vocational Technical - Blackstone Valley,119,132,24,2,N/A
Blackstone-Millville - Blackstone Millville RHS,56,40,2,1,  77.5
Blackstone-Millville - Blackstone Millville RHS,52,33,8,5,  52.0
Blackstone-Millville - Blackstone Millville RHS,29,56,10,2,N/A
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,62,127,8,0,  57.0
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,81,79,29,8,  43.5
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,27,118,39,1,N/A
Boston - Another Course To College,5,39,2,0,  53.0
Boston - Another Course To College,15,8,20,5,  33.0
Boston - Another Course To College,0,14,19,5,N/A
Boston - Boston Arts Academy,30,74,4,1,  48.5
Boston - Boston Arts Academy,33,43,24,7,  40.0
Boston - Boston Arts Academy,8,47,40,5,N/A
Boston - Boston Community Leadership Academy,12,81,13,1,  48.0
Boston - Boston Community Leadership Academy,38,42,19,6,  53.0
Boston - Boston Community Leadership Academy,1,34,59,3,N/A
Boston - Boston International  High School,0,41,23,0, 
Boston - Boston International  High School,17,28,15,3, 
Boston - Boston International  High School,0,5,23,21,N/A
Boston - Brighton High,14,146,45,11,  51.5
Boston - Brighton High,37,67,63,49,  39.0
Boston - Brighton High,5,38,80,37,N/A
Boston - Charlestown High,16,81,41,18,  51.0
Boston - Charlestown High,45,40,28,45,  28.0
Boston - Charlestown High,1,23,44,35,N/A
Boston - Community Academy of Science and Health,1,29,16,1,  31.5
Boston - Community Academy of Science and Health,5,17,19,8,  23.0
Boston - Community Academy of Science and Health,1,6,18,5,N/A
Boston - Dorchester Academy,0,31,17,8,  24.0
