Charles C Cashman Elementary,PK,1,2,1,4,0,0,39,
Charles C Cashman Elementary,Gr.1,3,1,6,5,0,1,79,
Charles C Cashman Elementary,Gr.2,3,5,7,1,0,1,89,
Charles C Cashman Elementary,Gr.3,0,0,1,4,0,0,87,
Charles C Cashman Elementary,Gr.4,0,0,4,1,0,0,104,
Amesbury Middle,Gr.5,4,3,10,9,0,0,156,
Amesbury Middle,Gr.6,3,1,5,5,0,0,176,
Amesbury Middle,Gr.7,5,1,8,7,0,0,167,
Amesbury Middle,Gr.8,1,2,7,4,0,0,164,
Amesbury High,Gr.9,2,1,9,1,0,0,157,
Amesbury High,Gr.10,2,4,8,7,0,0,154,
Amesbury High,Gr.11,0,2,4,2,0,0,129,
Amesbury High,Gr.12,0,2,4,3,0,0,149,
Amesbury High,SP,***,***,***,***,***,***,***,
Crocker Farm Elementary,K,5,7,17,8,0,0,22,
Crocker Farm Elementary,PK,7,17,12,1,0,0,28,
Crocker Farm Elementary,Gr.1,9,7,11,3,0,0,13,
Crocker Farm Elementary,Gr.2,5,3,13,8,0,0,28,
Crocker Farm Elementary,Gr.3,8,7,10,2,0,0,27,
Crocker Farm Elementary,Gr.4,2,11,5,1,0,0,26,
Crocker Farm Elementary,Gr.5,7,7,12,5,0,1,34,
Crocker Farm Elementary,Gr.6,5,6,10,3,0,1,21,
Fort River Elementary,K,1,6,11,2,0,0,20,
Fort River Elementary,Gr.1,6,10,11,4,0,0,28,
Fort River Elementary,Gr.2,6,3,18,5,0,0,23,
Fort River Elementary,Gr.3,3,8,5,5,0,0,17,
Fort River Elementary,Gr.4,4,7,12,3,1,1,33,
Fort River Elementary,Gr.5,4,9,10,4,0,0,29,
Fort River Elementary,Gr.6,5,7,10,8,0,0,29,
Wildwood Elementary,K,3,5,10,8,0,0,27,
Wildwood Elementary,Gr.1,5,11,8,7,0,0,32,
Wildwood Elementary,Gr.2,7,1,13,3,0,0,24,
Wildwood Elementary,Gr.3,4,4,10,6,0,0,25,
Wildwood Elementary,Gr.4,6,3,7,4,0,0,41,
Wildwood Elementary,Gr.5,5,8,15,7,0,0,34,
Wildwood Elementary,Gr.6,3,9,10,6,0,0,36,
Bancroft Elementary,K,2,2,6,3,0,0,48,
Bancroft Elementary,Gr.1,2,3,4,3,1,0,59,
Bancroft Elementary,Gr.2,4,7,6,2,0,0,62,
Bancroft Elementary,Gr.3,1,13,3,4,1,0,76,
Bancroft Elementary,Gr.4,1,6,2,3,1,0,56,
Bancroft Elementary,Gr.5,1,8,8,3,0,0,78,
High Plain Elementary,K,0,18,4,6,0,0,38,
High Plain Elementary,Gr.1,1,18,6,0,0,0,43,
High Plain Elementary,Gr.2,4,19,6,3,0,0,54,
High Plain Elementary,Gr.3,4,30,7,4,0,0,60,
High Plain Elementary,Gr.4,0,28,11,4,1,0,62,
High Plain Elementary,Gr.5,2,29,3,2,0,0,84,
Shawsheen School,K,1,7,6,2,0,0,50,
Shawsheen School,PK,0,14,1,7,0,0,39,
Shawsheen School,Gr.1,1,5,6,5,0,0,41,
Shawsheen School,Gr.2,1,2,3,4,0,0,41,
Henry C Sanborn Elementary,K,3,6,0,2,1,0,24,
Henry C Sanborn Elementary,Gr.1,1,16,1,0,0,0,34,
Henry C Sanborn Elementary,Gr.2,1,12,6,2,2,0,40,
Henry C Sanborn Elementary,Gr.3,1,20,2,2,0,0,40,
Henry C Sanborn Elementary,Gr.4,1,9,4,1,0,0,52,
Henry C Sanborn Elementary,Gr.5,0,13,1,1,1,0,53,
South Elementary,K,2,6,3,0,0,0,59,
South Elementary,Gr.1,1,15,2,0,0,1,58,
South Elementary,Gr.2,1,13,5,0,0,0,68,
South Elementary,Gr.3,0,21,2,0,1,0,74,
South Elementary,Gr.4,0,20,3,3,0,0,79,
South Elementary,Gr.5,0,17,1,1,0,0,69,
West Elementary,K,2,7,1,1,0,0,45,
West Elementary,PK,***,***,***,***,***,***,***,
West Elementary,Gr.1,0,13,5,4,1,0,60,
West Elementary,Gr.2,2,6,5,3,0,0,68,
West Elementary,Gr.3,0,11,6,8,0,0,124,
West Elementary,Gr.4,2,20,7,2,0,0,99,
West Elementary,Gr.5,3,23,8,3,0,0,116,
Doherty Middle,Gr.6,4,13,11,6,0,0,167,
Doherty Middle,Gr.7,4,13,7,7,0,0,161,
Doherty Middle,Gr.8,1,17,6,4,0,0,148,
Andover West Middle,Gr.6,2,25,5,3,1,0,154,
Andover West Middle,Gr.7,3,19,5,8,0,0,163,
Andover West Middle,Gr.8,1,22,3,0,0,0,147,
Wood Hill Middle School,Gr.6,5,25,4,1,0,0,83,
Wood Hill Middle School,Gr.7,2,27,6,2,0,0,95,
Wood Hill Middle School,Gr.8,1,25,14,4,0,0,85,
Andover High,Gr.9,10,62,29,11,0,0,376,
Andover High,Gr.10,7,61,16,14,2,0,344,
Andover High,Gr.11,6,54,22,11,1,0,336,
Andover High,Gr.12,11,48,13,10,0,0,347,
Andover High,SP,0,1,0,0,0,0,7,
John A Bishop,K,2,4,3,1,0,0,55,
John A Bishop,Gr.1,5,10,4,2,0,0,43,
John A Bishop,Gr.2,1,11,2,2,0,0,60,
John A Bishop,Gr.3,4,4,3,0,0,0,60,
John A Bishop,Gr.4,2,4,1,0,0,0,52,
John A Bishop,Gr.5,3,3,2,2,0,0,67,
Brackett,K,2,3,9,5,0,0,63,
Brackett,Gr.1,0,9,2,5,0,0,57,
Brackett,Gr.2,2,12,4,6,0,0,64,
Brackett,Gr.3,2,7,5,8,0,1,66,
Brackett,Gr.4,0,9,6,8,0,1,53,
Brackett,Gr.5,0,3,3,3,0,0,63,
Cyrus E Dallin,K,2,5,6,5,0,0,64,
